 ==  = 
|    Run | Delivered LS |     Delivered |          Selected LS |      Recorded |
|        |              |               | [81-104], [106-114], |               |
|        |              |               |           [116-146], |               |
|        |              |               | [149-150], [152-156] |               |
| 172495 |          159 |   5.170 (/pb) |              [1-143] |   3.202 (/pb) |
| 172497 |          114 |   3.550 (/pb) |               [1-24] | 566.350 (/nb) |
| 172507 |           91 |   2.743 (/pb) |      [1-43], [45-67] |   1.866 (/pb) |
| 172619 |           97 |   1.935 (/pb) |               [1-77] |   1.490 (/pb) |

 ==  =  Total : 
| Delivered LS | Delivered(/pb) | Selected LS | Recorded(/pb) |
---------------------------------------------------------------
|        22783 |        608.305 |       18661 |       515.355 |

