 ==  = 
|    Run |             SelectedLS |     Recorded |                HLTpath |              L1bit |    Effective |
| 165486 |               [37-102] |   1.402(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) | 280.324(/nb) |
|        |                        |              |         v1(1,10,3,2,5) |                    |              |
| 165487 |                [1-150] |   2.952(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |   2.952(/pb) |
|        |                        |              |    IsoL_v1(1,10,3,2,5) |                    |              |
| 165487 |                [1-150] |   2.952(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) | 590.312(/nb) |
|        |                        |              |         v1(1,10,3,2,5) |                    |              |
| 165506 |               [54-169] |   1.916(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |   1.916(/pb) |
|        |                        |              |    IsoL_v1(1,10,3,2,5) |                    |              |
| 165506 |               [54-169] |   1.916(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) | 629.255(/nb) |
|        |                        |              |         v1(1,10,3,2,5) |                    |              |
| 165514 |   [72-244], [246-270], |  10.722(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |  10.722(/pb) |
|        |   [283-560], [562-566] |              |    IsoL_v1(1,10,3,2,5) |                    |              |
| 165514 |   [72-244], [246-270], |  10.722(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |   2.144(/pb) |
|        |   [283-560], [562-566] |              |         v1(1,10,3,2,5) |                    |              |
| 165548 |    [1-363], [365-381], |   8.692(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |   8.692(/pb) |
|        |              [384-589] |              |    IsoL_v1(1,10,3,2,5) |                    |              |
| 165548 |    [1-363], [365-381], |   8.692(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |   4.346(/pb) |
|        |              [384-589] |              |         v1(1,10,3,2,5) |                    |              |
| 165558 |                 [1-62] | 817.620(/nb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) | 817.620(/nb) |
|        |                        |              |    IsoL_v1(1,10,3,2,5) |                    |              |
| 165558 |                 [1-62] | 817.620(/nb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) | 408.810(/nb) |
|        |                        |              |         v1(1,10,3,2,5) |                    |              |
| 165567 |   [54-109], [114-309], |  11.998(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |  11.983(/pb) |
|        |              [315-630] |              |    IsoL_v1(1,10,3,2,5) |                    |              |
| 165567 |   [54-109], [114-309], |  11.998(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |   2.638(/pb) |
|        |              [315-630] |              |         v1(1,10,3,2,5) |                    |              |
| 165570 |         [1-2], [5-83], |  16.280(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |  16.280(/pb) |
|        |   [88-207], [209-351], |              |    IsoL_v1(1,10,3,2,5) |                    |              |
|        |   [355-942], [944-945] |              |                        |                    |              |
| 165570 |         [1-2], [5-83], |  16.280(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |   6.096(/pb) |
|        |   [88-207], [209-351], |              |         v1(1,10,3,2,5) |                    |              |
|        |   [355-942], [944-945] |              |                        |                    |              |
| 165617 |     [26-52], [54-143], |   5.962(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |   5.962(/pb) |
|        |              [145-288] |              |    IsoL_v1(1,10,3,2,5) |                    |              |
| 165617 |     [26-52], [54-143], |   5.962(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |   1.192(/pb) |
|        |              [145-288] |              |         v1(1,10,3,2,5) |                    |              |
| 165620 |                [14-19] | 126.889(/nb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) | 126.889(/nb) |
|        |                        |              |    IsoL_v1(1,10,3,2,5) |                    |              |
| 165620 |                [14-19] | 126.889(/nb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |  25.378(/nb) |
|        |                        |              |         v1(1,10,3,2,5) |                    |              |
| 165633 |      [56-62], [64-64], |   9.666(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |   9.666(/pb) |
|        |   [66-129], [133-317], |              |    IsoL_v1(1,10,3,2,5) |                    |              |
|        |              [319-500] |              |                        |                    |              |
| 165633 |      [56-62], [64-64], |   9.666(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |   1.933(/pb) |
|        |   [66-129], [133-317], |              |         v1(1,10,3,2,5) |                    |              |
|        |              [319-500] |              |                        |                    |              |
| 165970 |   [67-263], [266-329], |   6.407(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |   6.407(/pb) |
|        |              [331-334] |              |             IsoL_v2(1) |                    |              |
| 165970 |   [67-263], [266-329], |   6.407(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) | 320.344(/nb) |
|        |              [331-334] |              |                  v2(1) |                    |              |
| 165993 |  [71-873], [879-1660], |  31.886(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |  31.886(/pb) |
|        |            [1665-1697] |              |             IsoL_v2(1) |                    |              |
| 165993 |  [71-873], [879-1660], |  31.886(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |   1.596(/pb) |
|        |            [1665-1697] |              |                  v2(1) |                    |              |
| 166011 |        [1-81], [83-83] |   1.824(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |   1.824(/pb) |
|        |                        |              |             IsoL_v2(1) |                    |              |
| 166011 |        [1-81], [83-83] |   1.824(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |  91.216(/nb) |
|        |                        |              |                  v2(1) |                    |              |
| 166033 |     [35-53], [59-330], |  29.218(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |  29.218(/pb) |
|        |  [336-355], [360-444], |              |             IsoL_v2(1) |                    |              |
|        |  [450-606], [613-707], |              |                        |                    |              |
|        |             [713-1233] |              |                        |                    |              |
| 166033 |     [35-53], [59-330], |  29.218(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |   1.461(/pb) |
|        |  [336-355], [360-444], |              |                  v2(1) |                    |              |
|        |  [450-606], [613-707], |              |                        |                    |              |
|        |             [713-1233] |              |                        |                    |              |
| 166034 |    [1-109], [115-228], |   6.140(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |   6.140(/pb) |
|        |              [234-307] |              |             IsoL_v2(1) |                    |              |
| 166034 |    [1-109], [115-228], |   6.140(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) | 340.885(/nb) |
|        |              [234-307] |              |                  v2(1) |                    |              |
| 166049 |     [53-86], [88-236], |  15.978(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |  15.978(/pb) |
|        |              [242-674] |              |             IsoL_v2(1) |                    |              |
| 166049 |     [53-86], [88-236], |  15.978(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) | 797.447(/nb) |
|        |              [242-674] |              |                  v2(1) |                    |              |
| 166149 |                  [1-2] |   2.057(/nb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |   2.057(/nb) |
|        |                        |              |             IsoL_v2(1) |                    |              |
| 166149 |                  [1-2] |   2.057(/nb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) | 102.836(/ub) |
|        |                        |              |                  v2(1) |                    |              |
| 166150 |      [1-99], [101-116] |   2.686(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |   2.686(/pb) |
|        |                        |              |             IsoL_v2(1) |                    |              |
| 166150 |      [1-99], [101-116] |   2.686(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) | 134.284(/nb) |
|        |                        |              |                  v2(1) |                    |              |
| 166161 |   [38-120], [122-123], |   2.036(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |   2.036(/pb) |
|        |              [126-126] |              |             IsoL_v2(1) |                    |              |
| 166161 |   [38-120], [122-123], |   2.036(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) | 101.816(/nb) |
|        |              [126-126] |              |                  v2(1) |                    |              |
| 166163 |        [1-12], [14-33] | 618.589(/nb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) | 618.589(/nb) |
|        |                        |              |             IsoL_v2(1) |                    |              |
| 166163 |        [1-12], [14-33] | 618.589(/nb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |  30.929(/nb) |
|        |                        |              |                  v2(1) |                    |              |
| 166164 |        [1-32], [34-40] | 779.210(/nb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) | 779.210(/nb) |
|        |                        |              |             IsoL_v2(1) |                    |              |
| 166164 |        [1-32], [34-40] | 779.210(/nb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |  38.961(/nb) |
|        |                        |              |                  v2(1) |                    |              |
| 166346 |    [48-210], [212-215] |   4.263(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |   4.263(/pb) |
|        |                        |              |             IsoL_v2(1) |                    |              |
| 166346 |    [48-210], [212-215] |   4.263(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) | 213.134(/nb) |
|        |                        |              |                  v2(1) |                    |              |
| 166374 |      [46-64], [66-188] |   3.703(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |   3.703(/pb) |
|        |                        |              |             IsoL_v2(1) |                    |              |
| 166374 |      [46-64], [66-188] |   3.703(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) | 185.152(/nb) |
|        |                        |              |                  v2(1) |                    |              |
| 166380 |    [1-367], [373-711], |  35.286(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |  35.286(/pb) |
|        |            [715-1400], |              |             IsoL_v2(1) |                    |              |
|        |            [1406-1809] |              |                        |                    |              |
| 166380 |    [1-367], [373-711], |  35.286(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |   2.122(/pb) |
|        |            [715-1400], |              |                  v2(1) |                    |              |
|        |            [1406-1809] |              |                        |                    |              |
| 166408 |   [67-283], [291-947], |  27.660(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |  27.660(/pb) |
|        |             [953-1236] |              |             IsoL_v2(1) |                    |              |
| 166408 |   [67-283], [291-947], |  27.660(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |   1.383(/pb) |
|        |             [953-1236] |              |                  v2(1) |                    |              |
| 166429 |                [33-89] |   1.385(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |   1.385(/pb) |
|        |                        |              |             IsoL_v2(1) |                    |              |
| 166429 |                [33-89] |   1.385(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |  69.234(/nb) |
|        |                        |              |                  v2(1) |                    |              |
| 166438 |     [32-85], [87-856], |  18.300(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |  18.300(/pb) |
|        |              [858-865] |              |             IsoL_v2(1) |                    |              |
| 166438 |     [32-85], [87-856], |  18.300(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) | 914.998(/nb) |
|        |              [858-865] |              |                  v2(1) |                    |              |
