 ==  = 
|    Run |             SelectedLS |     Recorded |             HLTpath |              L1bit |    Effective |
| 166380 |    [1-367], [373-711], |  35.286(/pb) | HLT_Photon125_v2(1) | "L1_SingleEG20"(1) |  35.286(/pb) |
|        |            [715-1400], |              |                     |                    |              |
|        |            [1406-1809] |              |                     |                    |              |
| 166408 |   [67-283], [291-947], |  27.660(/pb) | HLT_Photon125_v2(1) | "L1_SingleEG20"(1) |  27.660(/pb) |
|        |             [953-1236] |              |                     |                    |              |
| 166429 |                [33-89] |   1.385(/pb) | HLT_Photon125_v2(1) | "L1_SingleEG20"(1) |   1.385(/pb) |
| 166438 |     [32-85], [87-856], |  18.300(/pb) | HLT_Photon125_v2(1) | "L1_SingleEG20"(1) |  18.300(/pb) |
|        |              [858-865] |              |                     |                    |              |
| 166462 |   [78-102], [108-317], |   9.374(/pb) | HLT_Photon125_v2(1) | "L1_SingleEG20"(1) |   9.374(/pb) |
|        |              [323-526] |              |                     |                    |              |
| 166486 |      [54-75], [80-95], |   2.310(/pb) | HLT_Photon125_v2(1) | "L1_SingleEG20"(1) |   2.310(/pb) |
|        |               [97-174] |              |                     |                    |              |
| 166502 |      [43-78], [83-109] |   1.419(/pb) | HLT_Photon125_v2(1) | "L1_SingleEG20"(1) |   1.419(/pb) |
| 166512 |   [42-430], [432-487], |  37.882(/pb) | HLT_Photon125_v2(1) | "L1_SingleEG20"(1) |  37.882(/pb) |
|        | [491-605], [611-1279], |              |                     |                    |              |
|        |           [1281-1818], |              |                     |                    |              |
|        |           [1821-1862], |              |                     |                    |              |
|        |           [1868-1868], |              |                     |                    |              |
|        |           [1870-1871], |              |                     |                    |              |
|        |            [1873-1874] |              |                     |                    |              |
| 166514 |     [1-455], [460-463] |   7.344(/pb) | HLT_Photon125_v2(1) | "L1_SingleEG20"(1) |   7.344(/pb) |
| 166530 |                [43-63] | 458.028(/nb) | HLT_Photon125_v2(1) | "L1_SingleEG20"(1) | 458.028(/nb) |
| 166554 |   [46-218], [224-287], |  16.049(/pb) | HLT_Photon125_v2(1) | "L1_SingleEG20"(1) |  16.049(/pb) |
|        |  [290-317], [320-595], |              |                     |                    |              |
|        |  [597-730], [732-734], |              |                     |                    |              |
|        |              [736-736] |              |                     |                    |              |
| 166563 |     [1-276], [492-748] |  10.603(/pb) | HLT_Photon125_v2(1) | "L1_SingleEG20"(1) |  10.603(/pb) |
| 166565 |    [1-147], [153-312], |  14.947(/pb) | HLT_Photon125_v2(1) | "L1_SingleEG20"(1) |  14.947(/pb) |
|        |   [316-467], [469-898] |              |                     |                    |              |
| 166699 |   [55-234], [240-415], |  17.715(/pb) | HLT_Photon125_v2(1) | "L1_SingleEG20"(1) |  17.696(/pb) |
|        |  [421-477], [483-677], |              |                     |                    |              |
