 ==  = 
|    Run |             SelectedLS |     Recorded |                HLTpath |          L1bit |    Effective |
| 173657 |                [59-93] |   1.488(/pb) | HLT_HT550_v8(1,10,20,1 | "L1_HTT100"(1) |  82.959(/nb) |
|        |                        |              |                     5) |                |              |
| 173658 |                [1-110] |   4.717(/pb) | HLT_HT550_v8(1,10,20,1 | "L1_HTT100"(1) | 314.479(/nb) |
|        |                        |              |                     5) |                |              |
| 173659 |       [1-61], [66-317] |  13.508(/pb) | HLT_HT550_v8(1,10,20,1 | "L1_HTT100"(1) | 900.519(/nb) |
|        |                        |              |                     5) |                |              |
| 173660 |      [1-81], [86-164], |  13.169(/pb) | HLT_HT550_v8(1,10,20,1 | "L1_HTT100"(1) | 877.965(/nb) |
|        |   [169-357], [359-362] |              |                     5) |                |              |
| 173661 |       [1-56], [62-63], |   3.947(/pb) | HLT_HT550_v8(1,10,20,1 | "L1_HTT100"(1) | 394.652(/nb) |
|        |               [65-125] |              |                     5) |                |              |
| 173663 |       [1-71], [73-120] |   3.805(/pb) | HLT_HT550_v8(1,10,20,1 | "L1_HTT100"(1) | 380.536(/nb) |
|        |                        |              |                     5) |                |              |
| 173664 |                 [5-16] | 379.297(/nb) | HLT_HT550_v8(1,10,20,1 | "L1_HTT100"(1) |  37.930(/nb) |
|        |                        |              |                     5) |                |              |
| 173692 |   [50-143], [149-468], |  79.903(/pb) | HLT_HT550_v8(8,1,10,20 | "L1_HTT100"(1) |   7.112(/pb) |
|        |            [474-1123], |              |                   ,15) |                |              |
|        |           [1129-1162], |              |                        |                |              |
|        |           [1168-1321], |              |                        |                |              |
|        |           [1326-1361], |              |                        |                |              |
|        |           [1366-1383], |              |                        |                |              |
|        |           [1389-1431], |              |                        |                |              |
|        |           [1436-1818], |              |                        |                |              |
|        |           [1824-2361], |              |                        |                |              |
|        |           [2366-2710], |              |                        |                |              |
|        |            [2715-2754] |              |                        |                |              |

 ==  =  Total : 
|      HLTPath | SelectedLS |    Recorded |   Effective |
---------------------------------------------------------
| HLT_HT550_v8 |      20738 | 658.11(/pb) | 424.45(/pb) |

