 ==  = 
|    Run |            SelectedLS |     Recorded |                HLTpath |                  L1bit |    Effective |
| 170854 |   [1-336], [341-414], |  11.642(/pb) | HLT_HT300_v9(1440,720, |         "L1_HTT100"(1) |  77.611(/nb) |
|        |  [420-470], [475-578] |              |                  1010) |                        |              |
| 170854 |   [1-336], [341-414], |  11.642(/pb) | HLT_HT350_v8(1440,720, |         "L1_HTT100"(1) | 116.416(/nb) |
|        |  [420-470], [475-578] |              |                  1010) |                        |              |
| 170854 |   [1-336], [341-414], |  11.642(/pb) | HLT_HT400_v8(1440,720, |         "L1_HTT100"(1) | 232.833(/nb) |
|        |  [420-470], [475-578] |              |                  1010) |                        |              |
| 170854 |   [1-336], [341-414], |  11.642(/pb) | HLT_HT450_v8(1440,720, |         "L1_HTT100"(1) | 776.109(/nb) |
|        |  [420-470], [475-578] |              |                  1010) |                        |              |
| 170854 |   [1-336], [341-414], |  11.642(/pb) | HLT_HT500_v8(1440,720, |         "L1_HTT100"(1) |   2.328(/pb) |
|        |  [420-470], [475-578] |              |                  1010) |                        |              |
| 170854 |   [1-336], [341-414], |  11.642(/pb) | HLT_HT550_v8(1440,720, |         "L1_HTT100"(1) |  11.642(/pb) |
|        |  [420-470], [475-578] |              |                  1010) |                        |              |
| 170854 |   [1-336], [341-414], |  11.642(/pb) | HLT_HT600_v1(1440,720, |         "L1_HTT100"(1) |  11.642(/pb) |
|        |  [420-470], [475-578] |              |                  1010) |                        |              |
| 170876 |   [1-110], [115-295], |   8.212(/pb) | HLT_HT150_v8(1440,720, |       "L1_HTT50"(1,10) | 614.562(/ub) |
|        |  [301-448], [451-484] |              |          1010,510,360) |                        |              |
| 170876 |   [1-110], [115-295], |   8.212(/pb) | HLT_HT200_v8(1440,720, |          "L1_HTT75"(1) |  15.230(/nb) |
|        |  [301-448], [451-484] |              |          1010,510,360) |                        |              |
| 170876 |   [1-110], [115-295], |   8.212(/pb) | HLT_HT250_v8(1440,720, |         "L1_HTT100"(1) |  37.134(/nb) |
|        |  [301-448], [451-484] |              |          1010,510,360) |                        |              |
| 170876 |   [1-110], [115-295], |   8.212(/pb) | HLT_HT300_v9(1440,720, |         "L1_HTT100"(1) |  71.839(/nb) |
|        |  [301-448], [451-484] |              |          1010,510,360) |                        |              |
| 170876 |   [1-110], [115-295], |   8.212(/pb) | HLT_HT350_v8(1440,720, |         "L1_HTT100"(1) | 110.320(/nb) |
|        |  [301-448], [451-484] |              |          1010,510,360) |                        |              |
| 170876 |   [1-110], [115-295], |   8.212(/pb) | HLT_HT400_v8(1440,720, |         "L1_HTT100"(1) | 220.639(/nb) |
|        |  [301-448], [451-484] |              |          1010,510,360) |                        |              |
| 170876 |   [1-110], [115-295], |   8.212(/pb) | HLT_HT450_v8(1440,720, |         "L1_HTT100"(1) | 765.004(/nb) |
|        |  [301-448], [451-484] |              |          1010,510,360) |                        |              |
| 170876 |   [1-110], [115-295], |   8.212(/pb) | HLT_HT500_v8(1440,720, |         "L1_HTT100"(1) |   2.507(/pb) |
|        |  [301-448], [451-484] |              |          1010,510,360) |                        |              |
| 170876 |   [1-110], [115-295], |   8.212(/pb) | HLT_HT550_v8(1440,720, |         "L1_HTT100"(1) |   8.212(/pb) |
|        |  [301-448], [451-484] |              |          1010,510,360) |                        |              |
| 170876 |   [1-110], [115-295], |   8.212(/pb) | HLT_HT600_v1(1440,720, |         "L1_HTT100"(1) |   8.212(/pb) |
|        |  [301-448], [451-484] |              |          1010,510,360) |                        |              |
| 170901 |    [1-153], [159-200] |   2.662(/pb) | HLT_HT150_v8(1440,720, |       "L1_HTT50"(1,10) | 297.382(/ub) |
|        |                       |              |          1010,510,360) |                        |              |
| 170901 |    [1-153], [159-200] |   2.662(/pb) | HLT_HT200_v8(1440,720, |          "L1_HTT75"(1) |   7.393(/nb) |
|        |                       |              |          1010,510,360) |                        |              |
| 170901 |    [1-153], [159-200] |   2.662(/pb) | HLT_HT250_v8(1440,720, |         "L1_HTT100"(1) |  17.744(/nb) |
|        |                       |              |          1010,510,360) |                        |              |
| 170901 |    [1-153], [159-200] |   2.662(/pb) | HLT_HT300_v9(1440,720, |         "L1_HTT100"(1) |  35.488(/nb) |
|        |                       |              |          1010,510,360) |                        |              |
| 170901 |    [1-153], [159-200] |   2.662(/pb) | HLT_HT350_v8(1440,720, |         "L1_HTT100"(1) |  53.231(/nb) |
|        |                       |              |          1010,510,360) |                        |              |
| 170901 |    [1-153], [159-200] |   2.662(/pb) | HLT_HT400_v8(1440,720, |         "L1_HTT100"(1) | 106.463(/nb) |
|        |                       |              |          1010,510,360) |                        |              |
| 170901 |    [1-153], [159-200] |   2.662(/pb) | HLT_HT450_v8(1440,720, |         "L1_HTT100"(1) | 380.224(/nb) |
|        |                       |              |          1010,510,360) |                        |              |
| 170901 |    [1-153], [159-200] |   2.662(/pb) | HLT_HT500_v8(1440,720, |         "L1_HTT100"(1) |   1.331(/pb) |
|        |                       |              |          1010,510,360) |                        |              |
| 170901 |    [1-153], [159-200] |   2.662(/pb) | HLT_HT550_v8(1440,720, |         "L1_HTT100"(1) |   2.662(/pb) |
|        |                       |              |          1010,510,360) |                        |              |
| 170901 |    [1-153], [159-200] |   2.662(/pb) | HLT_HT600_v1(1440,720, |         "L1_HTT100"(1) |   2.662(/pb) |
|        |                       |              |          1010,510,360) |                        |              |
| 171050 |    [47-74], [80-337], |  17.579(/pb) | HLT_HT150_v8(1440,360, |    "L1_HTT50"(1,10,30) | 678.659(/ub) |
|        | [342-369], [371-379], |              |      210,720,1010,510) |                        |              |
|        | [384-423], [427-467], |              |                        |                        |              |
|        |             [471-648] |              |                        |                        |              |
| 171050 |    [47-74], [80-337], |  17.579(/pb) | HLT_HT200_v8(1440,360, |       "L1_HTT75"(1,10) |  16.935(/nb) |
|        | [342-369], [371-379], |              |      210,720,1010,510) |                        |              |
|        | [384-423], [427-467], |              |                        |                        |              |
|        |             [471-648] |              |                        |                        |              |
| 171050 |    [47-74], [80-337], |  17.579(/pb) | HLT_HT250_v8(1440,360, |         "L1_HTT100"(1) |  41.785(/nb) |
|        | [342-369], [371-379], |              |      210,720,1010,510) |                        |              |
|        | [384-423], [427-467], |              |                        |                        |              |
|        |             [471-648] |              |                        |                        |              |
| 171050 |    [47-74], [80-337], |  17.579(/pb) | HLT_HT300_v9(1440,360, |         "L1_HTT100"(1) |  81.537(/nb) |
|        | [342-369], [371-379], |              |      210,720,1010,510) |                        |              |
|        | [384-423], [427-467], |              |                        |                        |              |
|        |             [471-648] |              |                        |                        |              |
| 171050 |    [47-74], [80-337], |  17.579(/pb) | HLT_HT350_v8(1440,360, |         "L1_HTT100"(1) | 122.306(/nb) |
|        | [342-369], [371-379], |              |      210,720,1010,510) |                        |              |
|        | [384-423], [427-467], |              |                        |                        |              |
|        |             [471-648] |              |                        |                        |              |
| 171050 |    [47-74], [80-337], |  17.579(/pb) | HLT_HT400_v8(1440,360, |         "L1_HTT100"(1) | 244.612(/nb) |
|        | [342-369], [371-379], |              |      210,720,1010,510) |                        |              |
|        | [384-423], [427-467], |              |                        |                        |              |
|        |             [471-648] |              |                        |                        |              |
| 171050 |    [47-74], [80-337], |  17.579(/pb) | HLT_HT450_v8(1440,360, |         "L1_HTT100"(1) | 853.939(/nb) |
|        | [342-369], [371-379], |              |      210,720,1010,510) |                        |              |
|        | [384-423], [427-467], |              |                        |                        |              |
|        |             [471-648] |              |                        |                        |              |
| 171050 |    [47-74], [80-337], |  17.579(/pb) | HLT_HT500_v8(1440,360, |         "L1_HTT100"(1) |   2.443(/pb) |
|        | [342-369], [371-379], |              |      210,720,1010,510) |                        |              |
|        | [384-423], [427-467], |              |                        |                        |              |
|        |             [471-648] |              |                        |                        |              |
| 171050 |    [47-74], [80-337], |  17.579(/pb) | HLT_HT550_v8(1440,360, |         "L1_HTT100"(1) |  17.579(/pb) |
|        | [342-369], [371-379], |              |      210,720,1010,510) |                        |              |
|        | [384-423], [427-467], |              |                        |                        |              |
|        |             [471-648] |              |                        |                        |              |
| 171050 |    [47-74], [80-337], |  17.579(/pb) | HLT_HT600_v1(1440,360, |         "L1_HTT100"(1) |  17.579(/pb) |
|        | [342-369], [371-379], |              |      210,720,1010,510) |                        |              |
|        | [384-423], [427-467], |              |                        |                        |              |
|        |             [471-648] |              |                        |                        |              |
| 171091 |               [1-135] |   3.346(/pb) | HLT_HT150_v8(1440,360, |    "L1_HTT50"(1,10,30) | 133.291(/ub) |
|        |                       |              |      210,720,1010,510) |                        |              |
| 171091 |               [1-135] |   3.346(/pb) | HLT_HT200_v8(1440,360, |       "L1_HTT75"(1,10) |   3.312(/nb) |
|        |                       |              |      210,720,1010,510) |                        |              |
| 171091 |               [1-135] |   3.346(/pb) | HLT_HT250_v8(1440,360, |         "L1_HTT100"(1) |   8.160(/nb) |
|        |                       |              |      210,720,1010,510) |                        |              |
| 171091 |               [1-135] |   3.346(/pb) | HLT_HT300_v9(1440,360, |         "L1_HTT100"(1) |  15.931(/nb) |
|        |                       |              |      210,720,1010,510) |                        |              |
| 171091 |               [1-135] |   3.346(/pb) | HLT_HT350_v8(1440,360, |         "L1_HTT100"(1) |  23.897(/nb) |
|        |                       |              |      210,720,1010,510) |                        |              |
| 171091 |               [1-135] |   3.346(/pb) | HLT_HT400_v8(1440,360, |         "L1_HTT100"(1) |  47.794(/nb) |
|        |                       |              |      210,720,1010,510) |                        |              |
| 171091 |               [1-135] |   3.346(/pb) | HLT_HT450_v8(1440,360, |         "L1_HTT100"(1) | 167.280(/nb) |
|        |                       |              |      210,720,1010,510) |                        |              |
| 171091 |               [1-135] |   3.346(/pb) | HLT_HT500_v8(1440,360, |         "L1_HTT100"(1) | 477.944(/nb) |
|        |                       |              |      210,720,1010,510) |                        |              |
| 171091 |               [1-135] |   3.346(/pb) | HLT_HT550_v8(1440,360, |         "L1_HTT100"(1) |   3.346(/pb) |
|        |                       |              |      210,720,1010,510) |                        |              |
| 171091 |               [1-135] |   3.346(/pb) | HLT_HT600_v1(1440,360, |         "L1_HTT100"(1) |   3.346(/pb) |
|        |                       |              |      210,720,1010,510) |                        |              |
| 171098 |                 [1-8] |  90.585(/nb) | HLT_HT150_v8(1440,360, |    "L1_HTT50"(1,10,30) |   3.609(/ub) |
|        |                       |              |      210,720,1010,510) |                        |              |
| 171098 |                 [1-8] |  90.585(/nb) | HLT_HT200_v8(1440,360, |       "L1_HTT75"(1,10) |  89.688(/ub) |
|        |                       |              |      210,720,1010,510) |                        |              |
| 171098 |                 [1-8] |  90.585(/nb) | HLT_HT250_v8(1440,360, |         "L1_HTT100"(1) | 220.939(/ub) |
|        |                       |              |      210,720,1010,510) |                        |              |
| 171098 |                 [1-8] |  90.585(/nb) | HLT_HT300_v9(1440,360, |         "L1_HTT100"(1) | 431.358(/ub) |
|        |                       |              |      210,720,1010,510) |                        |              |
| 171098 |                 [1-8] |  90.585(/nb) | HLT_HT350_v8(1440,360, |         "L1_HTT100"(1) | 647.037(/ub) |
|        |                       |              |      210,720,1010,510) |                        |              |
| 171098 |                 [1-8] |  90.585(/nb) | HLT_HT400_v8(1440,360, |         "L1_HTT100"(1) |   1.294(/nb) |
|        |                       |              |      210,720,1010,510) |                        |              |
| 171098 |                 [1-8] |  90.585(/nb) | HLT_HT450_v8(1440,360, |         "L1_HTT100"(1) |   4.529(/nb) |
|        |                       |              |      210,720,1010,510) |                        |              |
| 171098 |                 [1-8] |  90.585(/nb) | HLT_HT500_v8(1440,360, |         "L1_HTT100"(1) |  12.941(/nb) |
|        |                       |              |      210,720,1010,510) |                        |              |
| 171098 |                 [1-8] |  90.585(/nb) | HLT_HT550_v8(1440,360, |         "L1_HTT100"(1) |  90.585(/nb) |
|        |                       |              |      210,720,1010,510) |                        |              |
| 171098 |                 [1-8] |  90.585(/nb) | HLT_HT600_v1(1440,360, |         "L1_HTT100"(1) |  90.585(/nb) |
|        |                       |              |      210,720,1010,510) |                        |              |
| 171102 |                [1-19] | 419.904(/nb) | HLT_HT150_v8(1440,360, |    "L1_HTT50"(1,10,30) |  16.729(/ub) |
|        |                       |              |      210,720,1010,510) |                        |              |
| 171102 |                [1-19] | 419.904(/nb) | HLT_HT200_v8(1440,360, |       "L1_HTT75"(1,10) | 415.747(/ub) |
|        |                       |              |      210,720,1010,510) |                        |              |
| 171102 |                [1-19] | 419.904(/nb) | HLT_HT250_v8(1440,360, |         "L1_HTT100"(1) |   1.024(/nb) |
|        |                       |              |      210,720,1010,510) |                        |              |
| 171102 |                [1-19] | 419.904(/nb) | HLT_HT300_v9(1440,360, |         "L1_HTT100"(1) |   2.000(/nb) |
|        |                       |              |      210,720,1010,510) |                        |              |
| 171102 |                [1-19] | 419.904(/nb) | HLT_HT350_v8(1440,360, |         "L1_HTT100"(1) |   2.999(/nb) |
|        |                       |              |      210,720,1010,510) |                        |              |
| 171102 |                [1-19] | 419.904(/nb) | HLT_HT400_v8(1440,360, |         "L1_HTT100"(1) |   5.999(/nb) |
|        |                       |              |      210,720,1010,510) |                        |              |
| 171102 |                [1-19] | 419.904(/nb) | HLT_HT450_v8(1440,360, |         "L1_HTT100"(1) |  20.995(/nb) |
|        |                       |              |      210,720,1010,510) |                        |              |
| 171102 |                [1-19] | 419.904(/nb) | HLT_HT500_v8(1440,360, |         "L1_HTT100"(1) |  59.986(/nb) |
|        |                       |              |      210,720,1010,510) |                        |              |
| 171102 |                [1-19] | 419.904(/nb) | HLT_HT550_v8(1440,360, |         "L1_HTT100"(1) | 419.904(/nb) |
|        |                       |              |      210,720,1010,510) |                        |              |
| 171102 |                [1-19] | 419.904(/nb) | HLT_HT600_v1(1440,360, |         "L1_HTT100"(1) | 419.904(/nb) |
|        |                       |              |      210,720,1010,510) |                        |              |
| 171106 |      [1-27], [32-288] |   6.579(/pb) | HLT_HT150_v8(1440,360, |    "L1_HTT50"(1,10,30) | 357.853(/ub) |
|        |                       |              |      210,720,1010,510) |                        |              |
| 171106 |      [1-27], [32-288] |   6.579(/pb) | HLT_HT200_v8(1440,360, |       "L1_HTT75"(1,10) |   8.896(/nb) |
|        |                       |              |      210,720,1010,510) |                        |              |
| 171106 |      [1-27], [32-288] |   6.579(/pb) | HLT_HT250_v8(1440,360, |         "L1_HTT100"(1) |  22.076(/nb) |
|        |                       |              |      210,720,1010,510) |                        |              |
| 171106 |      [1-27], [32-288] |   6.579(/pb) | HLT_HT300_v9(1440,360, |         "L1_HTT100"(1) |  42.708(/nb) |
|        |                       |              |      210,720,1010,510) |                        |              |
| 171106 |      [1-27], [32-288] |   6.579(/pb) | HLT_HT350_v8(1440,360, |         "L1_HTT100"(1) |  64.063(/nb) |
|        |                       |              |      210,720,1010,510) |                        |              |
| 171106 |      [1-27], [32-288] |   6.579(/pb) | HLT_HT400_v8(1440,360, |         "L1_HTT100"(1) | 128.125(/nb) |
|        |                       |              |      210,720,1010,510) |                        |              |
| 171106 |      [1-27], [32-288] |   6.579(/pb) | HLT_HT450_v8(1440,360, |         "L1_HTT100"(1) | 428.527(/nb) |
|        |                       |              |      210,720,1010,510) |                        |              |
| 171106 |      [1-27], [32-288] |   6.579(/pb) | HLT_HT500_v8(1440,360, |         "L1_HTT100"(1) |   1.281(/pb) |
|        |                       |              |      210,720,1010,510) |                        |              |
| 171106 |      [1-27], [32-288] |   6.579(/pb) | HLT_HT550_v8(1440,360, |         "L1_HTT100"(1) |   6.579(/pb) |
|        |                       |              |      210,720,1010,510) |                        |              |
| 171106 |      [1-27], [32-288] |   6.579(/pb) | HLT_HT600_v1(1440,360, |         "L1_HTT100"(1) |   6.579(/pb) |
|        |                       |              |      210,720,1010,510) |                        |              |
| 171117 |      [1-54], [56-78], |   1.637(/pb) | HLT_HT150_v8(1440,360, |    "L1_HTT50"(1,10,30) |  91.447(/ub) |
|        |               [80-84] |              |      210,720,1010,510) |                        |              |
| 171117 |      [1-54], [56-78], |   1.637(/pb) | HLT_HT200_v8(1440,360, |       "L1_HTT75"(1,10) |   2.273(/nb) |
|        |               [80-84] |              |      210,720,1010,510) |                        |              |
| 171117 |      [1-54], [56-78], |   1.637(/pb) | HLT_HT250_v8(1440,360, |         "L1_HTT100"(1) |   5.645(/nb) |
|        |               [80-84] |              |      210,720,1010,510) |                        |              |
| 171117 |      [1-54], [56-78], |   1.637(/pb) | HLT_HT300_v9(1440,360, |         "L1_HTT100"(1) |  10.913(/nb) |
|        |               [80-84] |              |      210,720,1010,510) |                        |              |
| 171117 |      [1-54], [56-78], |   1.637(/pb) | HLT_HT350_v8(1440,360, |         "L1_HTT100"(1) |  16.369(/nb) |
|        |               [80-84] |              |      210,720,1010,510) |                        |              |
| 171117 |      [1-54], [56-78], |   1.637(/pb) | HLT_HT400_v8(1440,360, |         "L1_HTT100"(1) |  32.738(/nb) |
|        |               [80-84] |              |      210,720,1010,510) |                        |              |
| 171117 |      [1-54], [56-78], |   1.637(/pb) | HLT_HT450_v8(1440,360, |         "L1_HTT100"(1) | 109.127(/nb) |
|        |               [80-84] |              |      210,720,1010,510) |                        |              |
| 171117 |      [1-54], [56-78], |   1.637(/pb) | HLT_HT500_v8(1440,360, |         "L1_HTT100"(1) | 327.381(/nb) |
|        |               [80-84] |              |      210,720,1010,510) |                        |              |
| 171117 |      [1-54], [56-78], |   1.637(/pb) | HLT_HT550_v8(1440,360, |         "L1_HTT100"(1) |   1.637(/pb) |
|        |               [80-84] |              |      210,720,1010,510) |                        |              |
| 171117 |      [1-54], [56-78], |   1.637(/pb) | HLT_HT600_v1(1440,360, |         "L1_HTT100"(1) |   1.637(/pb) |
|        |               [80-84] |              |      210,720,1010,510) |                        |              |
| 171156 |  [42-106], [111-214], |  17.983(/pb) | HLT_HT150_v8(1440,360, |    "L1_HTT50"(1,10,30) | 554.511(/ub) |
|        | [220-222], [226-581], |              |      210,720,1010,510) |                        |              |
|        |  [590-686], [688-691] |              |                        |                        |              |
| 171156 |  [42-106], [111-214], |  17.983(/pb) | HLT_HT200_v8(1440,360, |       "L1_HTT75"(1,10) |  15.079(/nb) |
|        | [220-222], [226-581], |              |      210,720,1010,510) |                        |              |
|        |  [590-686], [688-691] |              |                        |                        |              |
| 171156 |  [42-106], [111-214], |  17.983(/pb) | HLT_HT250_v8(1440,360, |         "L1_HTT100"(1) |  37.020(/nb) |
|        | [220-222], [226-581], |              |      210,720,1010,510) |                        |              |
|        |  [590-686], [688-691] |              |                        |                        |              |
| 171156 |  [42-106], [111-214], |  17.983(/pb) | HLT_HT300_v9(1440,360, |         "L1_HTT100"(1) |  72.162(/nb) |
|        | [220-222], [226-581], |              |      210,720,1010,510) |                        |              |
|        |  [590-686], [688-691] |              |                        |                        |              |
| 171156 |  [42-106], [111-214], |  17.983(/pb) | HLT_HT350_v8(1440,360, |         "L1_HTT100"(1) | 108.242(/nb) |
|        | [220-222], [226-581], |              |      210,720,1010,510) |                        |              |
|        |  [590-686], [688-691] |              |                        |                        |              |
| 171156 |  [42-106], [111-214], |  17.983(/pb) | HLT_HT400_v8(1440,360, |         "L1_HTT100"(1) | 216.485(/nb) |
|        | [220-222], [226-581], |              |      210,720,1010,510) |                        |              |
|        |  [590-686], [688-691] |              |                        |                        |              |
| 171156 |  [42-106], [111-214], |  17.983(/pb) | HLT_HT450_v8(1440,360, |         "L1_HTT100"(1) | 751.803(/nb) |
