 ==  = 
|    Run | Delivered LS |     Delivered |          Selected LS |      Recorded |
| 172399 |          245 |   8.954 (/pb) |    [57-63], [72-226] |   6.666 (/pb) |
| 172400 |          720 |  25.016 (/pb) |  [1-295], [304-495], |  23.435 (/pb) |
|        |              |               | [500-690], [696-704] |               |
| 172401 |          242 |   4.347 (/pb) |       [1-2], [5-148] |   4.129 (/pb) |
| 172411 |          977 |  33.084 (/pb) |  [85-85], [101-108], |   7.840 (/pb) |
|        |              |               |           [117-118], |               |
|        |              |               |           [125-126], |               |
|        |              |               |           [131-156], |               |
|        |              |               |           [159-162], |               |
|        |              |               |           [168-168], |               |
|        |              |               |           [179-200], |               |
|        |              |               |           [209-216], |               |
|        |              |               | [225-242], [245-347] |               |
| 172478 |          214 |   3.961 (/pb) |              [1-110] |   2.809 (/pb) |
| 172619 |           97 |   1.935 (/pb) |               [1-77] |   1.490 (/pb) |

 ==  =  Total : 
| Delivered LS | Delivered(/pb) | Selected LS | Recorded(/pb) |
---------------------------------------------------------------
|        16961 |        481.495 |       11777 |       343.909 |

