 ==  = 
|    Run | Delivered LS |     Delivered |          Selected LS |      Recorded |
| 163374 |          776 |   5.753 (/pb) |  [1-541], [546-573], |   5.707 (/pb) |
|        |              |               |           [578-585], |               |
|        |              |               |           [638-641], |               |
|        |              |               | [666-676], [680-863] |               |
| 163378 |          575 |   3.448 (/pb) |    [1-81], [89-272], |   3.417 (/pb) |
|        |              |               |            [306-615] |               |
| 163385 |          352 |   3.045 (/pb) |  [52-240], [244-405] |   3.008 (/pb) |
| 163387 |          256 |   1.966 (/pb) |              [1-256] |   1.946 (/pb) |
| 163402 |          762 |   7.015 (/pb) |  [37-582], [586-801] |   6.577 (/pb) |
| 163475 |          266 |   2.890 (/pb) |             [30-282] |   2.711 (/pb) |
| 163476 |          209 |   2.082 (/pb) |     [1-94], [98-203] |   1.967 (/pb) |
| 163478 |           70 | 656.732 (/nb) |               [1-48] | 441.367 (/nb) |
| 163479 |          175 |   1.624 (/pb) |              [1-175] |   1.603 (/pb) |
| 163480 |          187 |   1.660 (/pb) |    [1-92], [96-188], |   1.617 (/pb) |
|        |              |               |            [190-191] |               |
| 163481 |           77 | 659.014 (/nb) |     [1-72], [74-77], | 619.313 (/nb) |
|        |              |               |              [79-79] |               |
| 163482 |           28 | 235.954 (/nb) |               [1-27] | 220.272 (/nb) |
| 163483 |           57 | 364.427 (/nb) |               [1-56] | 356.260 (/nb) |
| 163582 |           22 | 335.052 (/nb) |               [1-21] | 242.645 (/nb) |
| 163583 |          213 |   3.067 (/pb) |     [1-63], [65-92], |   2.737 (/pb) |
|        |              |               | [96-155], [157-173], |               |
|        |              |               |            [175-205] |               |
| 163584 |           56 | 773.997 (/nb) |               [1-56] | 734.837 (/nb) |
| 163585 |           32 | 432.728 (/nb) |               [1-32] | 417.761 (/nb) |
| 163586 |           75 | 996.054 (/nb) |               [1-75] | 976.347 (/nb) |
| 163587 |           52 | 674.662 (/nb) |               [1-52] | 659.046 (/nb) |
| 163588 |          445 |   5.388 (/pb) |      [1-8], [10-446] |   5.316 (/pb) |
| 163589 |          159 |   1.793 (/pb) |     [1-49], [51-160] |   1.773 (/pb) |
| 163596 |           29 | 254.651 (/nb) |               [1-29] | 244.088 (/nb) |
| 163630 |           99 |   1.242 (/pb) |  [76-164], [176-185] |   1.212 (/pb) |
| 163655 |            9 | 139.749 (/nb) |              [15-23] | 127.859 (/nb) |
| 163657 |          140 |   2.095 (/pb) |              [1-140] |   2.046 (/pb) |
| 163658 |            3 |  43.569 (/nb) |                [1-2] |   6.016 (/nb) |
| 163659 |          703 |   9.188 (/pb) |  [1-374], [376-650], |   9.004 (/pb) |
|        |              |               |            [652-705] |               |
| 163660 |           74 | 869.575 (/nb) |               [1-61] | 705.618 (/nb) |
| 163661 |           17 | 197.087 (/nb) |               [1-10] | 106.972 (/nb) |
| 163662 |          154 |   1.748 (/pb) |              [1-154] |   1.718 (/pb) |
| 163663 |          244 |   2.624 (/pb) |   [1-106], [109-244] |   2.505 (/pb) |
| 163664 |          177 |   1.813 (/pb) |   [1-119], [121-178] |   1.758 (/pb) |
| 163668 |          207 |   1.959 (/pb) |    [1-53], [57-136], |   1.920 (/pb) |
|        |              |               |            [140-213] |               |
| 163738 |          206 |   2.854 (/pb) |   [90-95], [112-311] |   2.820 (/pb) |
| 163758 |          570 |   7.481 (/pb) |    [1-17], [19-220], |   7.068 (/pb) |
|        |              |               |           [222-224], |               |
|        |              |               |           [236-276], |               |
|        |              |               |           [283-374], |               |
|        |              |               | [376-466], [468-590] |               |
| 163759 |          485 |   5.581 (/pb) |     [1-60], [62-72], |   5.478 (/pb) |
|        |              |               | [74-456], [458-461], |               |
|        |              |               | [463-482], [504-510] |               |
| 163760 |          338 |   3.520 (/pb) |   [1-162], [165-340] |   3.455 (/pb) |
| 163761 |          203 |   1.987 (/pb) |              [1-203] |   1.966 (/pb) |
| 163763 |           79 | 747.951 (/nb) |               [1-79] | 736.726 (/nb) |
| 163765 |          321 |   2.816 (/pb) |              [1-321] |   2.774 (/pb) |
| 163795 |           32 | 590.423 (/nb) |    [10-34], [36-36], | 443.710 (/nb) |
|        |              |               |              [38-43] |               |
| 163796 |          182 |   3.108 (/pb) |              [1-182] |   3.048 (/pb) |
| 163817 |          757 |  12.960 (/pb) | [50-140], [154-205], |  12.593 (/pb) |
|        |              |               |           [216-295], |               |
|        |              |               |           [305-346], |               |
|        |              |               |           [358-457], |               |
|        |              |               | [561-603], [618-965] |               |
| 163869 |           45 | 700.125 (/nb) |             [79-122] | 679.821 (/nb) |

 ==  =  Total : 
| Delivered LS | Delivered(/pb) | Selected LS | Recorded(/pb) |
---------------------------------------------------------------
|        23006 |        190.205 |       22908 |       184.700 |

