 ==  = 
|    Run |            SelectedLS |     Recorded |                HLTpath |                  L1bit |    Effective |
|        |  [420-470], [475-578] |              |                  1010) |                        |              |
| 170854 |   [1-336], [341-414], |  11.642(/pb) | HLT_HT200_v8(1440,720, |          "L1_HTT75"(1) |  16.169(/nb) |
|        |  [420-470], [475-578] |              |                  1010) |                        |              |
| 170854 |   [1-336], [341-414], |  11.642(/pb) | HLT_HT250_v8(1440,720, |         "L1_HTT100"(1) |  40.144(/nb) |
|        |  [420-470], [475-578] |              |                  1010) |                        |              |
| 170854 |   [1-336], [341-414], |  11.642(/pb) | HLT_HT300_v9(1440,720, |         "L1_HTT100"(1) |  77.611(/nb) |
|        |  [420-470], [475-578] |              |                  1010) |                        |              |
| 170854 |   [1-336], [341-414], |  11.642(/pb) | HLT_HT350_v8(1440,720, |         "L1_HTT100"(1) | 116.416(/nb) |
|        |  [420-470], [475-578] |              |                  1010) |                        |              |
| 170854 |   [1-336], [341-414], |  11.642(/pb) | HLT_HT400_v8(1440,720, |         "L1_HTT100"(1) | 232.833(/nb) |
|        |  [420-470], [475-578] |              |                  1010) |                        |              |
| 170854 |   [1-336], [341-414], |  11.642(/pb) | HLT_HT450_v8(1440,720, |         "L1_HTT100"(1) | 776.109(/nb) |
|        |  [420-470], [475-578] |              |                  1010) |                        |              |
| 170854 |   [1-336], [341-414], |  11.642(/pb) | HLT_HT500_v8(1440,720, |         "L1_HTT100"(1) |   2.328(/pb) |
|        |  [420-470], [475-578] |              |                  1010) |                        |              |
| 170854 |   [1-336], [341-414], |  11.642(/pb) | HLT_HT550_v8(1440,720, |         "L1_HTT100"(1) |  11.642(/pb) |
|        |  [420-470], [475-578] |              |                  1010) |                        |              |
| 170854 |   [1-336], [341-414], |  11.642(/pb) | HLT_HT600_v1(1440,720, |         "L1_HTT100"(1) |  11.642(/pb) |
|        |  [420-470], [475-578] |              |                  1010) |                        |              |
| 170876 |   [1-110], [115-295], |   8.628(/pb) | HLT_HT150_v8(1440,720, |       "L1_HTT50"(1,10) | 664.719(/ub) |
|        | [301-379], [387-516], |              |          1010,510,360) |                        |              |
|        |             [518-518] |              |                        |                        |              |
| 170876 |   [1-110], [115-295], |   8.628(/pb) | HLT_HT200_v8(1440,720, |          "L1_HTT75"(1) |  16.478(/nb) |
|        | [301-379], [387-516], |              |          1010,510,360) |                        |              |
|        |             [518-518] |              |                        |                        |              |
| 170876 |   [1-110], [115-295], |   8.628(/pb) | HLT_HT250_v8(1440,720, |         "L1_HTT100"(1) |  40.124(/nb) |
|        | [301-379], [387-516], |              |          1010,510,360) |                        |              |
|        |             [518-518] |              |                        |                        |              |
| 170876 |   [1-110], [115-295], |   8.628(/pb) | HLT_HT300_v9(1440,720, |         "L1_HTT100"(1) |  77.868(/nb) |
|        | [301-379], [387-516], |              |          1010,510,360) |                        |              |
|        |             [518-518] |              |                        |                        |              |
| 170876 |   [1-110], [115-295], |   8.628(/pb) | HLT_HT350_v8(1440,720, |         "L1_HTT100"(1) | 119.289(/nb) |
|        | [301-379], [387-516], |              |          1010,510,360) |                        |              |
|        |             [518-518] |              |                        |                        |              |
| 170876 |   [1-110], [115-295], |   8.628(/pb) | HLT_HT400_v8(1440,720, |         "L1_HTT100"(1) | 238.577(/nb) |
|        | [301-379], [387-516], |              |          1010,510,360) |                        |              |
|        |             [518-518] |              |                        |                        |              |
| 170876 |   [1-110], [115-295], |   8.628(/pb) | HLT_HT450_v8(1440,720, |         "L1_HTT100"(1) | 829.302(/nb) |
|        | [301-379], [387-516], |              |          1010,510,360) |                        |              |
|        |             [518-518] |              |                        |                        |              |
| 170876 |   [1-110], [115-295], |   8.628(/pb) | HLT_HT500_v8(1440,720, |         "L1_HTT100"(1) |   2.734(/pb) |
|        | [301-379], [387-516], |              |          1010,510,360) |                        |              |
|        |             [518-518] |              |                        |                        |              |
| 170876 |   [1-110], [115-295], |   8.628(/pb) | HLT_HT550_v8(1440,720, |         "L1_HTT100"(1) |   8.628(/pb) |
|        | [301-379], [387-516], |              |          1010,510,360) |                        |              |
|        |             [518-518] |              |                        |                        |              |
| 170876 |   [1-110], [115-295], |   8.628(/pb) | HLT_HT600_v1(1440,720, |         "L1_HTT100"(1) |   8.628(/pb) |
|        | [301-379], [387-516], |              |          1010,510,360) |                        |              |
|        |             [518-518] |              |                        |                        |              |
| 170896 |               [1-212] |   3.333(/pb) | HLT_HT150_v8(1440,720, |       "L1_HTT50"(1,10) | 372.386(/ub) |
|        |                       |              |          1010,510,360) |                        |              |
| 170896 |               [1-212] |   3.333(/pb) | HLT_HT200_v8(1440,720, |          "L1_HTT75"(1) |   9.258(/nb) |
|        |                       |              |          1010,510,360) |                        |              |
| 170896 |               [1-212] |   3.333(/pb) | HLT_HT250_v8(1440,720, |         "L1_HTT100"(1) |  22.219(/nb) |
|        |                       |              |          1010,510,360) |                        |              |
| 170896 |               [1-212] |   3.333(/pb) | HLT_HT300_v9(1440,720, |         "L1_HTT100"(1) |  44.438(/nb) |
|        |                       |              |          1010,510,360) |                        |              |
| 170896 |               [1-212] |   3.333(/pb) | HLT_HT350_v8(1440,720, |         "L1_HTT100"(1) |  66.657(/nb) |
|        |                       |              |          1010,510,360) |                        |              |
| 170896 |               [1-212] |   3.333(/pb) | HLT_HT400_v8(1440,720, |         "L1_HTT100"(1) | 133.314(/nb) |
|        |                       |              |          1010,510,360) |                        |              |
| 170896 |               [1-212] |   3.333(/pb) | HLT_HT450_v8(1440,720, |         "L1_HTT100"(1) | 476.123(/nb) |
|        |                       |              |          1010,510,360) |                        |              |
| 170896 |               [1-212] |   3.333(/pb) | HLT_HT500_v8(1440,720, |         "L1_HTT100"(1) |   1.666(/pb) |
|        |                       |              |          1010,510,360) |                        |              |
| 170896 |               [1-212] |   3.333(/pb) | HLT_HT550_v8(1440,720, |         "L1_HTT100"(1) |   3.333(/pb) |
|        |                       |              |          1010,510,360) |                        |              |
| 170896 |               [1-212] |   3.333(/pb) | HLT_HT600_v1(1440,720, |         "L1_HTT100"(1) |   3.333(/pb) |
|        |                       |              |          1010,510,360) |                        |              |
| 170899 |                [1-84] |   1.267(/pb) | HLT_HT150_v8(1440,720, |       "L1_HTT50"(1,10) | 141.514(/ub) |
|        |                       |              |          1010,510,360) |                        |              |
| 170899 |                [1-84] |   1.267(/pb) | HLT_HT200_v8(1440,720, |          "L1_HTT75"(1) |   3.518(/nb) |
|        |                       |              |          1010,510,360) |                        |              |
| 170899 |                [1-84] |   1.267(/pb) | HLT_HT250_v8(1440,720, |         "L1_HTT100"(1) |   8.444(/nb) |
|        |                       |              |          1010,510,360) |                        |              |
| 170899 |                [1-84] |   1.267(/pb) | HLT_HT300_v9(1440,720, |         "L1_HTT100"(1) |  16.887(/nb) |
|        |                       |              |          1010,510,360) |                        |              |
| 170899 |                [1-84] |   1.267(/pb) | HLT_HT350_v8(1440,720, |         "L1_HTT100"(1) |  25.331(/nb) |
|        |                       |              |          1010,510,360) |                        |              |
| 170899 |                [1-84] |   1.267(/pb) | HLT_HT400_v8(1440,720, |         "L1_HTT100"(1) |  50.662(/nb) |
|        |                       |              |          1010,510,360) |                        |              |
| 170899 |                [1-84] |   1.267(/pb) | HLT_HT450_v8(1440,720, |         "L1_HTT100"(1) | 180.936(/nb) |
|        |                       |              |          1010,510,360) |                        |              |
| 170899 |                [1-84] |   1.267(/pb) | HLT_HT500_v8(1440,720, |         "L1_HTT100"(1) | 633.277(/nb) |
|        |                       |              |          1010,510,360) |                        |              |
| 170899 |                [1-84] |   1.267(/pb) | HLT_HT550_v8(1440,720, |         "L1_HTT100"(1) |   1.267(/pb) |
|        |                       |              |          1010,510,360) |                        |              |
| 170899 |                [1-84] |   1.267(/pb) | HLT_HT600_v1(1440,720, |         "L1_HTT100"(1) |   1.267(/pb) |
|        |                       |              |          1010,510,360) |                        |              |
| 170901 |    [1-153], [159-200] |   2.662(/pb) | HLT_HT150_v8(1440,720, |       "L1_HTT50"(1,10) | 297.382(/ub) |
